year,item,country,value,unit
2010,Sunflower,Brazil,7.69,kcal/capita/day
2010,Soybean,Brazil,284.62,kcal/capita/day
2010,Sesame,Brazil,0.11,kcal/capita/day
2010,Ricebran,Brazil,1.86,kcal/capita/day
2010,Peanut,Brazil,0.12,kcal/capita/day
2010,Palm,Brazil,45.12,kcal/capita/day
2010,Other oils,Brazil,49.02,kcal/capita/day
2010,Olive,Brazil,6.91,kcal/capita/day
2010,Cottonseed,Brazil,31.39,kcal/capita/day
2010,Corn,Brazil,1.91,kcal/capita/day
2010,Coconut,Brazil,0.32,kcal/capita/day
2011,Sunflower,Brazil,7.93,kcal/capita/day
2011,Soybean,Brazil,284.48,kcal/capita/day
2011,Sesame,Brazil,0.11,kcal/capita/day
2011,Ricebran,Brazil,1.86,kcal/capita/day
2011,Peanut,Brazil,0.13,kcal/capita/day
2011,Palm,Brazil,48.73,kcal/capita/day
2011,Other oils,Brazil,49.17,kcal/capita/day
2011,Olive,Brazil,7.82,kcal/capita/day
2011,Cottonseed,Brazil,39.05,kcal/capita/day
2011,Corn,Brazil,1.92,kcal/capita/day
2011,Coconut,Brazil,0.33,kcal/capita/day
2012,Sunflower,Brazil,10.05,kcal/capita/day
2012,Soybean,Brazil,283.16,kcal/capita/day
2012,Sesame,Brazil,0.11,kcal/capita/day
2012,Ricebran,Brazil,1.87,kcal/capita/day
2012,Peanut,Brazil,0.09,kcal/capita/day
2012,Palm,Brazil,54.88,kcal/capita/day
2012,Other oils,Brazil,49.22,kcal/capita/day
2012,Olive,Brazil,9.44,kcal/capita/day
2012,Cottonseed,Brazil,42.26,kcal/capita/day
2012,Corn,Brazil,1.92,kcal/capita/day
2012,Coconut,Brazil,0.34,kcal/capita/day
2013,Sunflower,Brazil,8.4,kcal/capita/day
2013,Soybean,Brazil,283.11,kcal/capita/day
2013,Sesame,Brazil,0.11,kcal/capita/day
2013,Ricebran,Brazil,1.87,kcal/capita/day
2013,Peanut,Brazil,0.48,kcal/capita/day
2013,Palm,Brazil,58.84,kcal/capita/day
2013,Other oils,Brazil,49.32,kcal/capita/day
2013,Olive,Brazil,8.82,kcal/capita/day
